"Gender","Adult","Face_Angle","Image_Color","Image_Quality","Image_Type","Context","Multiface","Race","Smile","Area"
"male",1,1,0,"good",1,"feature",0,"white",NA,49662
"male",1,1,0,NA,1,"author",1,"asian",0,50232
"male",1,1,0,"fair",1,"author",0,"white",0,47430
"male",1,1,0,"good",1,"feature",1,"white",0,13200
"male",1,1,0,"fair",1,"feature",1,"white",0,12444
"female",1,1,0,"good",1,"feature",0,"white",NA,14352
"female",1,1,0,"fair",1,"feature",1,"white",0,13029
"male",1,1,0,NA,1,"author",1,"white",0,10890
"male",1,1,0,"good",1,"ad",1,"white",0,13774
"male",1,1,0,"good",1,"feature",0,"white",0,17334
"male",1,1,0,"fair",0,"feature",0,"white",0,13038
"male",1,1,0,"good",1,"feature",0,"white",0,10608
"male",1,1,0,"fair",0,"feature",1,"white",0,11766
"male",1,1,0,"good",1,"feature",0,"white",0,10573
"female",1,0,1,NA,1,"ad",0,"white",1,8740
"female",1,1,1,NA,1,"ad",1,"white",NA,4209
"male",0,1,1,NA,1,"ad",1,"white",1,NA
"male",1,1,1,NA,1,"ad",1,"white",1,NA
