"Tag_Group","Gender","Age","Race","Location","Prof_Score"
"67.2.2","female","18-25","white","North America",0.866666666666667
"68.2.2","female","26-35","asian","Asia",0.84
"69.2.2","male","26-35","black","North America",0.857894736842105
"7.2.2","male","36-45","white","North America",0.826315789473684
"70.2.2","male","46-55","white","North America",0.79375
"71.2.2","female","36-45","white","North America",0.855
"72.2.2","female","56-65","white","North America",0.819047619047619
"73.2.2","female","36-45","unknown","North America",0.805555555555556
"74.2.2","male","26-35","white","North America",0.883333333333333
"75.2.2","female","26-35","white","North America",0.766666666666667
"76.2.2","male","26-35","white","North America",0.877777777777778
"77.2.2","female","26-35","white","North America",0.841176470588235
"78.2.2","male","26-35","white","South America",0.683333333333333
"79.2.2","male","26-35","white","North America",0.87
"8.2.2","female","46-55","white","North America",0.861904761904762
"80.2.2","male","18-25","white","Asia",0.768421052631579
"81.2.2","female","18-25","asian","South America",0.773684210526316
"82.2.2","female","56-65","white","Europe",0.83
"83.2.2","male","26-35","asian","Asia",0.8
"84.2.2","female","36-45","black","North America",0.9125
"85.2.2","unknown","26-35","white","North America",0.847368421052632
"86.2.2","female","46-55","white","North America",0.9
"87.2.2","male","26-35","asian","Asia",0.773684210526316
"88.2.2","female","56-65","white","North America",0.844444444444444
"89.2.2","male","26-35","black","North America",0.888888888888889
"9.2.2","male","26-35","white","Europe",0.870588235294118
"90.2.2","male","26-35","asian","Asia",0.647368421052632
"91.2.2","male","26-35","white","Europe",0.866666666666667
"92.2.2","female","36-45","white","North America",0.892857142857143
"93.2.2","female","66+","white","North America",0.877272727272727
"94.2.2","female","66+","white","North America",0.82
"95.2.2","male","26-35","asian","Asia",0.723809523809524
"96.2.2","male","26-35","white","North America",0.911111111111111
"97.2.2","male","26-35","americanin","North America",0.828571428571429
"98.2.2","male","26-35","white","North America",0.7875
"99.2.2","male","36-45","asian","Asia",0.809090909090909
